chrom	length	bases	mean	min	max
chr1	248956422	36	0.00	0	1
chr2	242193529	295	0.00	0	1
chr4	190214555	84	0.00	0	1
chr6	170805979	607	0.00	0	2
chr7	159345973	541	0.00	0	2
chr8	145138636	78	0.00	0	1
chr9	138394717	334	0.00	0	1
chr10	133797422	72	0.00	0	1
chr12	133275309	165	0.00	0	1
chr13	114364328	36	0.00	0	1
chr14	107043718	34	0.00	0	1
chr16	90338345	31	0.00	0	1
chr17	83257441	1348	0.00	0	2
chr18	80373285	53	0.00	0	1
chr20	64444167	72356	0.00	0	5
chr22	50818468	44	0.00	0	1
chrX	156040895	35	0.00	0	1
KN538371.1	206320	244	0.00	0	1
KZ208909.1	175849	283	0.00	0	1
total	2309185358	76676	0.00	0	5
